공항코드1(IATA),영문도시명
MSA,Muskrat Dam
MSJ,Misawa
MSL,Muscle Shoals
MSN,Madison
MSO,Missoula
MSP,Minneapolis
MSQ,Minsk
MSR,MuS
MSS,Massena
MST,Maastricht
MSU,Maseru
MSW,Massawa
MSY,New Orleans
MSZ,Namibe
MTB,MontelIbano
MTC,Mount Clemens
MTH,Marathon
MTJ,Montrose
MTK,Makin Island
MTM,Metlakatla
MTN,Baltimore
MTP,Montauk
MTR,MonterIa
MTS,Manzini
MTT,Minatitlan
MTV,Mota Lava
MTW,Manitowoc
MTY,Monterrey
MUA,Munda
MUB,Maun
MUC,Munich
MUE,Kamuela
MUH,Mersa Matruh
MUK,Mauke Island
MUN,MaturIn
MUO,Mountain Home
MUR,Marudi
MUW,Mascara
MUX,Multan
MUZ,Musoma
MVB,Franceville
MVD,Montevideo
MVF,Mossoro
MVL,Stowe
MVP,MitU
MVR,Maroua
MVT,Mataiva
MVW,Burlington-Mount Vernon
MVY,Marthas Vineyard
MWA,Marion
MWE,Merowe
MWF,Maewo
MWH,Moses Lake
MWK,Matak
MWQ,Magway
MWX,Muan
MWZ,Mwanza
MXB,Masamba
MXH,Moro
MXI,Mati
MXJ,Minna
MXL,Mexicali
MXM,Morombe
MXN,Morlaix
MXO,Monticello
MXP,Milan
MXS,Maota
MXT,Maintirano
MXV,Moron
MXX,Mora
MXZ,Meixian
MYA,Moruya
MYC,Maracay
MYD,Malindi
MYE,Miyakejima
MYG,Mayaguana
MYI,Murray Island
MYJ,Matsuyama
MYP,Mary
MYQ,Mysore
MYR,Myrtle Beach
MYT,Myitkyina
MYU,Mekoryuk
MYW,Mtwara
MYY,Miri
MYZ,Monkey Bay
MZA,Mazamari
MZB,MocImboa da Praia
MZG,Magong
MZH,Merzifon
MZI,Mopti
MZJ,Marana
MZK,Marakei
MZL,Manizales
MZO,Manzanillo
MZQ,Mkuze
MZR,Mazar-i-Sharif
MZT,Mazatlan
MZU,Muzaffarpur
MZV,Mulu
MZW,Mecheria
NAA,Narrabri
NAC,Naracoorte
NAG,Nagpur
NAH,Tahuna
NAJ,Nakhchivan
NAK,Nakhon Ratchasima
NAL,Nalchik
NAM,Namlea
NAN,Nadi
NAO,Nanchong
NAP,Naples
NAQ,Qaanaaq
NAS,Nassau
NAT,Natal
NAU,Napuka
NAV,NevSehir
NAW,Narathiwat
NAY,Beijing
NBC,Nizhnekamsk
NBE,Enfidha
NBN,DePale
NBO,Nairobi
NBS,Baishan
NBX,Nabire
NCA,North Caicos
NCE,Nice
NCJ,Sunchales
NCL,Newcastle
NCN,Chenega
NCR,San Carlos
NCS,Newcastle
NCU,Nukus
NCY,Annecy
NDB,Nouadhibou
NDC,Nanded
NDE,Mandera
NDG,Qiqihar
NDJ,N'Djamena
NDK,Namdrik Atoll
NDR,Nador
NDU,Rundu
NDY,Sanday
NEC,Necochea
NEG,Negril
NER,Neryungri
NEU,Xam Neua
NEV,Nevis
NEW,New Orleans
NFO,Niuafo'ou
NGB,Ningbo
NGD,Anegada
NGE,Ngaoundere
NGK,Nogliki
NGL,Ngala
NGO,Nagoya
NGQ,Shiquanhe
NGS,Nagasaki
NHT,Northolt
NHV,Nuku Hiva
NIB,Nikolai
NIF,Nifty Copper Mine
NIG,Nikunau
NIM,Niamey
NIU,Niau
NJC,Nizhnevartovsk
NJF,Al Najaf
NJK,El Centro
NKC,Nouakchott
NKG,Nanjing
NKI,Naukati Bay
NKL,Kolo
NKM,Nagoya
NKP,Nukutepipi
NKT,Sirnak
NKY,Nkayi
NLA,Ndola
NLD,Nuevo Laredo
NLF,Darnley Island
NLG,Nelson Lagoon
NLH,Ninglang
NLI,Nikolayevsk-on-Amur
NLK,Norfolk Island
NLO,Kinshasa
NLT,Xinyuan
NLU,Santa Lucia
NLV,Mykolaiv
NMA,Namangan
NME,Nightmute
NMF,Maafaru
NMS,Nansang
NNB,Santa Ana Island
NNG,Nanning
NNL,Nondalton
NNM,Naryan-Mar
NNR,Spiddal
NNT,Nan
NNX,Nunukan
NNY,Nanyang
NOB,Nosara
NOC,Knock
NOG,Nogales
NOJ,Noyabrsk
NON,Nonouti
NOP,Sinop
NOS,Nosy Be
NOU,Noumea
NOV,Huambo
NOZ,Novokuznetsk
NPA,Pensacola
NPE,Napier
NPL,New Plymouth
NPT,Newport
NPY,Mpanda
NQN,Neuquen
NQU,NuquI
NQY,Newquay
NQZ,Astana
NRA,Narrandera
NRD,Norderney
NRE,NamroleBuru
NRK,Norrkping
NRL,North Ronaldsay
NRN,Weeze
NRR,Ceiba
NRT,Tokyo
NSB,Bimini
NSH,Nowshahr
NSI,Yaounde
NSK,Norilsk
NSN,Nelson
NST,Nakhon Si Thammarat
NSY,Catania
NTB,Notodden
NTE,Nantes
NTG,Nantong
NTL,Newcastle
NTN,Normanton
NTQ,Wajima
NTR,Monterrey
NTT,Niuatoputapu
NTX,Natuna Islands
NTY,Sun City
NUA,Nuwara Eliya
NUE,Nuremberg
NUF,Hatton
NUI,Nuiqsut
NUK,Nukutavake
NUL,Nulato
NUM,NeomBay
NUP,Nunapitchuk
NUS,Norsup
NUU,Nakuru
NUX,Novy Urengoy
NVA,Neiva
NVI,Navoiy
NVK,Narvik
NVT,Navegantes
NWA,Moheli
NWI,Norwich
NYA,Nyagan
NYI,Sunyani
NYK,Nanyuki
NYM,Nadym
NYO,Skavsta
NYR,Nyurba
NYT,Naypyidaw
NYU,Bagan/Nyaung
NYW,Monywa
NZH,Manzhouli
NZL,Zhalantun
OAG,Orange
OAI,Bagram
OAJ,Jacksonville
OAK,Oakland
OAL,Cacoal
OAX,Oaxaca
OBF,Oberpfaffenhofen
OBN,Oban
OBO,Obihiro
OBU,Kobuk
OBX,Obo
OCA,Key Largo
OCC,Coca
OCF,Ocala
OCJ,Ocho Rios
OCM,Boolgeeda
ODB,Cordoba
ODE,Odense
ODN,Long Seridan
ODO,Bodaybo
ODS,Odesa
ODY,Muang Xay
OEC,Oecussi
OEL,Oryol
OER,Ornskoldsvik
OFF,Omaha
OFI,Ouango Fitini
OFU,Ofu Island
OGD,Ogden
OGG,Kahului
OGL,Georgetown
OGM,Ustupo
OGN,Yonaguni
OGS,Ogdensburg
OGU,Ordu/Giresun
OGX,Ouargla
OGZ,Vladikavkaz
OHD,Ohrid
OHE,Mohe
OHH,Okha
OHO,Okhotsk
OHS,Sohar
OIM,oshima
OIR,Okushiri
OIT,Oita
OKA,Okinawa
OKC,Oklahoma City
OKD,Sapporo
OKE,Okinoerabujima
OKI,Oki Island
OKJ,Okayama
OKL,Oksibil
OKR,Yorke Island
OLA,orland
OLB,Olbia
OLC,Sao Paulo de Olivenca
OLF,Wolf Point
OLJ,Olpoi
OLK,Fuerte Olimpo
OLL,Oyo
OLP,Olympic Dam
OLV,Olive Branch
OLX,MaraIntrepid
OLZ,Olyokminsk
OMA,Omaha
OMC,Ormoc
OMD,Oranjemund
OME,Nome
OMH,Urmia
OMM,Marmul
OMO,Mostar
OMR,Oradea
OMS,Omsk
ONB,Ononge
OND,Ondangwa
ONG,Mornington Island
ONJ,odate-Noshiro
ONK,Olenyok
ONL,O'Neill
ONP,Newport
ONQ,Zonguldak
ONS,Onslow
ONT,Ontario
ONX,Colon
OOK,Toksook Bay
OOL,Gold Coast
OOM,Cooma
OOT,Onotoa
OPF,Miami
OPO,Porto
OPS,Sinop
OPU,Balimo
ORA,Oran
ORB,Orebro
ORD,Chicago
ORF,Norfolk
ORG,Paramaribo
ORH,Worcester
ORI,Port Lions
ORK,Cork
ORL,Orlando
ORN,Oran
ORT,Northway
ORU,Oruro
ORV,Noorvik
ORY,Paris
ORZ,OrangeWalk
OSC,Oscoda
OSD,Ostersund
OSF,Moscow-Podolsk
OSH,Oshkosh
OSI,Osijek
OSK,Oskarshamn
OSL,Oslo
OSM,Mosul
OSO,Osborne Mine
OSR,Ostrava
OSS,Osh
OST,Ostend-Bruges
OSU,Columbus
OSW,Orsk
OSY,Namsos
OTD,Contadora Island
OTH,North Bend
OTI,Morotai Island
OTP,Bucharest
OTR,Coto 47
OTT,Cotriguacu
OTZ,Kotzebue
OUA,Ouagadougou
OUD,Oujda
OUK,Out Skerries
OUL,Oulu
OUZ,Zouerate
OVB,Novosibirsk
OVD,Oviedo
OVS,Sovetsky
OWB,Owensboro
OWD,Norwood
OXB,Bissau
OXF,Oxford
OYA,Goya
OYE,Oyem
OYG,Moyo Town
OZC,Ozamiz
OZG,Zagora
OZH,Zaporizhzhia
OZZ,Ouarzazate
PAB,Bilaspur
PAC,Panama City
PAD,Paderborn
PAE,Everett
PAF,Pakuba
PAG,Pagadian
PAH,Paducah
PAM,Panama City
PAO,Palo Alto
PAP,Port-au-Prince
PAS,Paros
PAT,Patna
PAV,Paulo Afonso
PAX,Port-de-Paix
PAZ,Poza Rica
PBC,Puebla
PBD,Porbandar
PBG,Plattsburgh
PBH,Paro
PBI,West Palm Beach
PBJ,Paama
PBL,Puerto Cabello
PBM,Paramaribo
PBO,Paraburdoo
PBP,Islita
PBR,Puerto Barrios
PBU,Putao
PBZ,Plettenberg Bay
PCB,South Tangerang
PCL,Pucallpa
PCN,Picton
PCP,PrIncipe Island
PCQ,Phongsaly
PCR,Puerto Carreno
PDA,Puerto InIrida
PDB,Pedro Bay
PDG,Padang
PDK,Atlanta
PDL,Ponta Delgada
PDM,PedasI
PDP,Punta del Este
PDS,Piedras Negras
PDT,Pendleton
PDV,Plovdiv
PDX,Portland
PEC,Pelican
PED,Pardubice
PEE,Perm
PEG,Perugia
PEI,Pereira
PEK,Beijing
PEM,Puerto Maldonado
PEN,Penang
PER,Perth
PES,Petrozavodsk
PET,Pelotas
PEU,Puerto Lempira
PEW,Peshawar
PEX,Pechora
PEZ,Penza
PFB,Passo Fundo
PFO,Paphos
PFQ,Parsabad
PGA,Page
PGD,Punta Gorda
PGF,Perpignan
PGH,Pantnagar
PGK,Pangkalpinang
PGM,Port Graham
PGQ,Pekaulang
PGU,Asaloyeh
PGV,Greenville
PGX,Perigueux
PGZ,Ponta Grossa
PHB,ParnaIba
PHC,Port Harcourt
PHE,Port Hedland
PHF,Newport News
PHG,Port Harcourt
PHL,Philadelphia
PHN,Port Huron
PHO,Point Hope
PHQ,Phosphate Hill
PHS,Phitsanulok
PHW,Phalaborwa
PHX,Phoenix
PHY,Phetchabun
PIA,Peoria
PIB,Laurel
PIE,St. Petersburg
PIF,Pingtung
PIH,Pocatello
PIK,Glasgow
PIN,Parintins
PIO,Pisco
PIR,Pierre
PIS,Poitiers
PIT,Pittsburgh
PIU,Piura
PIX,Pico Island
PIZ,Point Lay
PJA,Pajala
PJC,Pedro Juan Caballero
PJG,Panjgur
PJM,Puerto Jimenez
PKA,Napaskiak
PKB,Parkersburg
PKC,Petropavlovsk
PKE,Parkes
PKG,Pangkor Island
PKN,Pangkalanbun
PKO,Parakou
PKP,PukaPuka
PKR,Pokhara
PKU,Pekanbaru
PKV,Pskov
PKW,Selebi-Phikwe
PKX,Beijing
PKY,Palangkaraya
PKZ,Pakse
PLD,PlayaSamara
PLH,Plymouth
PLJ,Placencia
PLM,Palembang
PLN,Pellston
PLO,Port Lincoln
PLP,La Palma
PLQ,Palanga
PLS,Providenciales
PLU,Belo Horizonte
PLV,Poltava
PLW,Palu
PLX,Semey
PLZ,Port Elizabeth
PMA,Pemba Island
PMB,Pembina
PMC,Puerto Montt
PMF,Parma
PMG,Ponta Pora
PMI,Palma de Mallorca
PMK,Palm Island
PML,Cold Bay
PMO,Palermo
PMQ,Perito Moreno
PMR,Palmerston North
PMV,Porlamar
PMW,Palmas
PMY,Puerto Madryn
PMZ,Palmar Sur
PNA,Pamplona
PND,Punta Gorda
PNG,Paranagua
PNH,Phnom Penh
PNI,Pohnpei
PNK,Pontianak
PNL,Pantelleria
PNP,Popondetta
PNQ,Pune
PNR,PointeNoire
PNS,Pensacola
PNT,Puerto Natales
PNY,Pondicherry
PNZ,Petrolina
POA,Porto Alegre
POD,Podor
POG,PortGentil
POI,PotosI
POJ,Patos de Minas
POL,Pemba
POM,Port Moresby
POP,PuertoPlata
POR,Pori
POS,Port of Spain
POW,PortoroZ
POX,Paris
POZ,Poznan
PPB,Presidente Prudente
PPE,Puerto Penasco
PPG,Pago Pago
PPJ,Panjang Island
PPK,Petropavlovsk
PPL,Phaphlu
PPN,Popayan
PPP,Proserpine
PPQ,Paraparaumu Beach
PPR,Pasir Pangaraian
PPS,Puerto Princesa
PPT,Tahiti
PPV,Port Protection
PPW,Papa Westray
PQC,Phu Quoc Island
PQI,Presque Isle
PQM,Palenque
PQQ,Port Macquarie
PQS,Pilot Station
PRA,Parana
PRC,Prescott
PRG,Prague
PRH,Phrae
PRI,Praslin Island
PRM,Portimao
PRN,Pristina
PRS,Parasi
PRV,Prerov
PRY,Pretoria
PSA,Pisa
PSC,Pasco
PSD,Port Said
PSE,Ponce
PSF,Pittsfield
PSG,Petersburg
PSH,Sankt Peter-Ording
PSI,Pasni
PSJ,Poso
PSM,Portsmouth
PSO,Pasto
PSP,Palm Springs
PSR,Pescara
PSS,Posadas
PSU,Putussibau
PSV,Papa Stour
PSZ,Puerto Suarez
PTA,Port Alsworth
PTF,Malolo Lailai
PTG,Polokwane
PTH,Port Heiden
PTJ,Portland
PTK,Pontiac
PTO,Pato Branco
PTP,Pointe-a-Pitre
PTU,Platinum
PTW,Pottstown
PTX,Pitalito
PTY,Panama City
PUB,Pueblo
PUD,Puerto Deseado
PUE,Puerto ObaldIa
PUF,Pau
PUG,Port Augusta
PUJ,Punta Cana
PUK,Pukarua
PUQ,Punta Arenas
PUS,Busan
PUT,Puttaparthi
PUU,Puerto AsIs
PUW,Pullman
PUY,Pula
PUZ,Puerto Cabezas
PVA,Providencia Island
PVC,Provincetown
PVD,Providence
PVE,El Porvenir
PVG,Shanghai
PVH,Porto Velho
PVK,Preveza-Lefkada
PVL,Pikeville
PVO,Portoviejo
PVR,Puerto Vallarta
PVS,Provideniya
PVU,Provo
PWE,Pevek
PWK,Chicago
PWL,Purwokerto
PWM,Portland
PWQ,Pavlodar
PXA,Pagar Alam
PXH,Prominent Hill
PXM,Puerto Escondido
PXO,Porto Santo Island
PXU,Pleiku
PYB,Jeypore
PYC,PlayonChico
PYG,Gangtok
PYH,Puerto Ayacucho
PYJ,Polyarny
PYK,Karaj
PYM,Plymouth
PYY,Pai
PZB,Pietermaritzburg
PZH,Zhob
PZI,Panzhihua
PZK,Pukapuka Island
PZL,Phinda
PZO,Puerto Ordaz
PZU,Port Sudan
PZY,Piestany
QAQ,L'Aquila
QBC,Bella Coola
QOW,Owerri
QRO,Queretaro
QRW,Warri
QSC,Sao Carlos
QSF,Setif
QSR,Salerno
QSZ,Shache
QUB,Ubari
QUO,Uyo
RAB,Rabaul
RAE,Arar
RAH,Rafha
RAI,Praia
RAJ,Rajkot
RAK,Marrakesh
RAM,Ramingining
RAO,Ribeirao Preto
RAP,Rapid City
RAQ,Raha
RAR,Rarotonga  Island
RAS,Rasht
RBA,Rabat
RBD,Dallas
RBM,Straubing
RBQ,Rurrenabaque
RBR,Rio Branco
RBV,Ramata Island
RBX,Rumbek
RBY,Ruby
RCA,Rapid City
RCB,Richards Bay
RCE,Roche Harbor
RCH,Riohacha
RCL,Redcliffe
RCM,Richmond
RCQ,Reconquista
RCU,RIo Cuarto
RDB,Red Dog
RDD,Redding
RDG,Reading
RDM,Redmond
RDN,Redang Island
RDO,Radom
RDP,Durgapur
RDU,Raleigh
RDV,Red Devil
RDZ,Rodez
REA,Reao
REC,Recife
REG,Reggio di Calabria
REL,Trelew
REN,Orenburg
REP,Siem Reap
RER,Retalhuleu
RES,Resistencia
RET,Rost
REU,Reus
REW,Rewa
REX,Reynosa
REZ,Resende
RFD,Chicago-Rockf
RFP,Raiatea
RFS,Rosita
RGA,RIo Grande
RGH,Balurghat
RGI,Rangiroa
RGK,Gorno-Altaysk
RGL,RIo Gallegos
RGN,Yangon
RGO,Chongjin
RGS,Burgos
RGT,Rengat
RHD,Termas de RIo Hondo
RHE,Reims
RHI,Rhinelander
RHO,Rhodes
RHP,Ramechhap
RHR,AlHamra
RHT,Alxa Right Banner
RIA,Santa Maria
RIB,Riberalta
RIC,Richmond
RIG,Rio Grande
RIH,RIo Hato
RIJ,Rioja
RIS,Rishiri
RIW,Riverton
RIX,Riga
RIY,Mukalla
RIZ,Rizhao
RJA,Rajahmundry
RJB,Rajbiraj
RJH,Rajshahi
RJK,Rijeka
RJL,Logrono
RJM,Waisai
RJN,Rafsanjan
RKA,Aratika
RKD,Rockland
RKE,Copenhagen
RKP,Rockport
RKS,Rock Springs
RKT,Ras alKhaimah
RKV,ReykjavIk
RKZ,Shigatse
RLG,Rostock
RLK,Bayannur
RLO,Villa de Merlo
RLR,Isalo
RLT,Arlit
RMA,Roma
RME,Rome
RMF,Marsa Alam
RMI,Rimini
RMK,Renmark
RML,Colombo
RMO,Chisinau
RMP,Rampart
RMQ,Taichung
RMS,Ramstein
RMT,Rimatara
RMU,Murcia
RNA,Arona
RNB,Ronneby
RNI,Corn Islands
RNJ,Yoronjima
RNL,Rennell Island
RNM,Qarn Alam
RNN,Bornholm
RNO,Reno
RNP,Rongelap Atoll
RNS,Rennes
ROA,Roanoke
ROB,Monrovia
ROC,Rochester
ROI,Roi Et
ROK,Rockhampton
RON,Paipa
ROO,Rondonopolis
ROP,Rota
ROR,Koror
ROS,Rosario
ROT,Rotorua
ROV,Rostov
ROW,Roswell
ROY,RIo Mayo
RPN,Rosh Pinna
RPR,Raipur
RQA,Ruoqiang
RRG,Rodrigues Island
RRJ,Barra da Tijuca
RRK,Rourkela
RRR,Raroia
RRS,Roros
RSA,Santa Rosa
RSD,Rock Sound
RSH,Russian Mission
RSS,Damazin
RST,Rochester
RSU,Yeosu/Suncheo
RSW,South Fort Myers
RTA,Rotuma Island
RTB,Roatan
RTC,Ratnagiri
RTG,Ruteng
RTI,Rote Island
RTM,Rotterdam
RUA,Arua
RUD,Shahrud
RUE,Butembo
RUH,Riyadh
RUK,Rukumkot
RUL,Maavarulu
RUM,Rumjatar
RUN,StDenis
RUP,Rupsi
RUR,Rurutu
RUS,Marau
RUT,Rutland
RUY,Copan Ruinas
RVA,Farafangana
RVD,Rio Verde
RVE,Saravena
RVK,Rorvik
RVN,Rovaniemi
RVS,Tulsa
RVT,Ravensthorpe
RVV,Raivavae
RVY,Rivera
RWN,Rivne
RXS,Roxas
RYG,Rygge
RYK,Rahim Yar Khan
RYO,RIo Turbio
RZE,Rzeszow
RZP,Taytay
RZR,Ramsar
RZS,Sawan
RZV,Rize Province
SAB,Saba
SAF,Santa Fe
SAG,Shirdi
SAH,Sanaa
SAI,Siem Reap
SAK,Sauoarkrokur
SAL,San Salvador
SAN,San Diego
SAP,San Pedro Sula
SAQ,SanAndros
SAT,San Antonio
SAV,Savannah
SAW,Istanbul
SAX,SambU
SBA,Santa Barbara
SBD,San Bernardino
SBG,Sabang
SBH,StBarthelemy
SBK,Saint-Brieuc
SBN,South Bend
SBP,San Luis Obispo
SBR,Saibai Island
SBS,Steamboat Springs
SBT,Sabetta
SBW,Sibu
SBY,Salisbury
SBZ,Sibiu
SCC,Prudhoe Bay
SCE,State College
SCF,Scottsdale
SCI,San Cristobal
SCK,Stockton
SCL,Santiago
SCM,Scammon Bay
SCN,Saarbrcken
SCO,Aktau
SCQ,Santiago de Compostela
SCR,SAlen
SCT,Socotra
SCU,Santiago de Cuba
SCV,Suceava
SCW,Syktyvkar
SCX,Salina Cruz
SCY,San Cristobal Island
SCZ,Santa Cruz Islands
SDD,Lubango
SDE,Santiago del Estero
SDF,Louisville
SDG,Sanandaj
SDJ,Sendai
SDK,Sandakan
SDL,Sundsvall-HArnsand
SDN,Sandane
SDP,Sand Point
SDQ,Santo Domingo
SDR,Santander
SDS,Sado
SDT,Saidu Sharif
SDU,Rio de Janeiro
SDY,Sidney
SEA,Seattle
SEB,Sebha
SEK,Srednekolymsk
SEN,London-Southend
SEU,Seronera
SEW,Siwa Oasis
SEZ,Mahe Island
SFA,Sfax
SFB,Orlando
SFD,San Fernando
SFE,San Fernando
SFF,Spokane
SFG,StMartin
SFJ,Kangerlussuaq
SFL,Sao Filipe
SFN,SantaFe
SFO,San Francisco
SFS,Subic Bay
SFT,Skelleftea
SFX,San Felix
SGC,Surgut
SGD,Sonderborg
SGE,Siegen
SGF,Springfield
SGG,Sermiligaaq
SGK,Sangapi
SGL,Manila
SGN,HoChiMinh City
SGO,St George
SGT,Stuttgart
SGU,St George
SGX,Songea
SGY,Skagway
SHA,Shanghai
SHB,Nakashibetsu
SHC,IndaSelassie
SHD,Staunton-Waynesboro
SHE,Shenyang
SHF,Shihezi
SHG,Shungnak
SHH,Shishmaref
SHI,Shimojishima
SHJ,Sharjah
SHL,Shillong
SHM,Shirahama
SHO,Manzini
SHR,Sheridan
SHS,Jingzhou
SHV,Shreveport
SHW,Sharurah
SHX,Shageluk
SHY,Shinyanga
SIB,Sibiti
SIC,San Jose Island
SID,Sal
SIF,Simara
SIG,San Juan
SIN,Singapore
SIP,Simferopol
SIQ,Singkep
SIR,Sion
SIS,Sishen
SIT,Sitka
SIU,Siuna
SIW,Parapat
SJC,San Jose
SJD,San Jose del Cabo
SJE,San Jose del Guaviare
SJI,San Jose
SJJ,Sarajevo
SJK,Sao Jose dos Campos
SJL,Sao Gabriel da Cachoeira
SJM,San Juan de la Maguana
SJO,San Jose
SJP,Sao Jose do Rio Preto
SJS,San Jose de Chiquitos
SJT,San Angelo
SJU,San Juan
SJW,Shijiazhuang
SJY,SeinAjoki
SJZ,Sao Jorge Island
SKA,Spokane
SKB,Saint Kitts
SKC,Suki
SKD,Samarkand
SKE,Skien
SKG,Thessaloniki
SKH,Surkhet
SKK,Shaktoolik
SKL,Isle of Skye
SKN,Stokmarknes
SKO,Sokoto
SKP,Skopje
SKT,Sialkot
SKU,Skyros
SKV,Saint Catherine
SKX,Saransk
SKZ,Sukkur
SLA,Salta
SLC,SaltLake
SLD,Sliac
SLE,Salem
SLH,Sola
SLI,Solwezi
SLJ,Solomon
SLK,Saranac Lake
SLL,Salalah
SLM,Salamanca
SLN,Salina
SLP,San Luis Potosi
SLQ,Sleetmute
SLR,Sulphur Springs
SLU,StLucia
SLV,Simla
SLW,Saltillo
SLX,Salt Cay
SLY,Salekhard
SLZ,Sao LuIs
SMA,Santa Maria
SMD,Fort Wayne
SMF,Sacramento
SMG,Santa MarIa del Mar
SMI,Samos
SMK,St. Michael
SML,Stella Maris
SMN,Salmon
SMQ,Sampit
SMR,Santa Marta
SMS,Sainte-Marie
SMV,St. Moritz
SMW,Smara
SMX,Santa Maria
SNA,Santa Ana
SNB,Milikapiti
SNC,Salinas
SNE,Sao Nicolau
SNG,SanIgnacio
SNN,Shannon
SNO,Sakon Nakhon
SNP,St. Paul Island
SNR,Saint-Nazaire
SNU,Santa Clara
SNV,Santa Elena de Uairen
SNW,Thandwe
SNX,Semnan
SNY,Sidney
SOB,HevIz
SOC,Surakarta
SOD,Sorocaba
SOF,Sofia
SOG,Sogndal
SOJ,Sorkjosen
SOM,San Tome
SON,Luganville
SOP,Southern Pines
SOQ,Sorong
SOU,Southampton
SOV,Seldovia
SOW,Show Low
SOY,Stronsay
SPC,La Palma
SPD,Saidpur
SPI,Springfield
SPN,Saipan
SPP,Menongue
SPR,SanPedro
SPS,Wichita Falls
SPU,Split
SPX,Giza
SPY,San-Pedro
SQD,Shangrao
SQG,Sintang
SQH,SonLa
SQJ,Sanming
SQN,Sanana Island
SQO,Storuman
SQQ,siauliai
SQR,Soroako
SQS,Belize City
SRA,Santa Rosa
SRE,Sucre
SRG,Semarang
SRH,Sarh
SRJ,San Borja
SRN,Strahan
SRP,Stord
SRQ,Sarasota
SRV,Stony River
SRX,Sirte
SRY,Sari
SRZ,Santa Cruz
SSA,Salvador
SSE,Solapur
SSF,San Antonio
SSG,Malabo
SSH,Sharm elSheikh
SSJ,Sandnessjoen
SSR,Sara
SSY,Mbanza-Congo
STC,St. Cloud
STD,Santo Domingo
STG,St. George
STI,Santiago
STL,St. Louis
STM,Santarem
STN,London
STR,Stuttgart
STS,Santa Rosa
STT,St. Thomas Island
STV,Surat
STW,Stavropol
STX,Saint Croix
STY,Salto
SUB,Surabaya
SUF,Lamezia Terme
SUG,Surigao
SUJ,Satu Mare
SUK,Sakkyryr
SUL,Sui
SUN,Hailey-Sun Valley
SUP,Trunojoyo
SUR,Summer Beaver
SUS,St. Louis
SUT,Sumbawanga
SUV,Suva
SUX,Sioux City
SUY,Suntar
SVA,Savoonga
SVB,Sambava
SVC,Silver City
SVD,Saint Vincent
SVG,Stavanger
SVI,San Vicente 
SVJ,Svolvaer
SVK,Belize City
SVL,Savonlinna
SVN,Savannah
SVO,Moscow
SVP,Kuito
SVQ,Sevilla
SVS,Stevens Village
SVU,Savusavu
SVX,Yekaterinburg
SVZ,San Antonio del Tachira
SWA,Shantou
SWF,New York
SWJ,South West Bay
SWL,San Vicente
SWO,Stillwater
SWQ,Sumbawa 
SWS,Swansea
SWT,Strezhevoy
SWV,Evensk
SXB,Strasbourg
SXI,Sirri Island
SXK,Saumlaki
SXL,Sligo
SXM,Sint Maarten
SXO,Sao Felix do Araguaia
SXP,Nunam Iqua
SXR,Srinagar
SXV,Salem
SXZ,Siirt
SYB,Seal Bay
SYD,Sydney
SYJ,Sirjan
SYM,Simao
SYO,Shonai
SYQ,San Jose
SYR,Syracuse
SYS,Saskylakh
SYU,WarraberIs
SYX,Sanya
SYY,Stornoway
SYZ,Shiraz
SZA,Soyo
SZB,Kuala Lumpur
SZE,Semera
SZF,Samsun
SZG,Salzburg
SZI,Zaysan
SZK,Skukuza
SZW,Schwerin
SZX,Shenzhen
SZY,Szczytno
SZZ,Szczecin
TAB,Tobago
TAC,Tacloban
TAE,Daegu
TAG,Panglao
TAH,Tanna Island
TAI,Taiz
TAK,Takamatsu
TAL,Tanana
TAM,Tampico
TAO,Qingdao
TAP,Tapachula
TAR,Taranto
TAS,Tashkent
TAT,Poprad
TAY,Tartu
TAZ,DaSoguz
TBB,Tuy Hoa
TBF,Tabiteuea North
TBG,Tabubil
TBH,Tablas Island
TBI,New Bight
TBJ,Tabarka
TBM,Tumbang Samba
TBN,Fort Leonard Wood
TBO,Tabora
TBP,Tumbes
TBS,Tbilisi
TBT,Tabatinga
TBU,Nukualofa
TBW,Tambov
TBZ,Tabriz
TCA,Tennant Creek
TCB,Treasure Cay
TCD,Tarapaca
TCE,Tulcea
TCG,Tacheng
TCL,Tuscaloosa
TCM,Tacoma
TCN,Tehuacan
TCO,Tumaco
TCP,Taba
TCQ,Tacna
TCR,Tuticorin
TCT,Takotna
TCX,Tabas
TCZ,Tengchong
TDD,Trinidad
TDG,Tandag
TDK,Taldykorgan
TDX,Trat
TEA,Tela
TEB,Teterboro
TEE,Tebessa
TEF,Telfer
TEI,Tezu
TEK,Tatitlek
TEL,Telupid
TEN,Tongren
TEQ,Tekirdag
TER,Terceira Island
TET,Tete
TEU,Te Anau
TEV,Teruel
TEX,Telluride
TEZ,Tezpur
TFF,Tefe
TFI,Tufi
TFN,Tenerife
TFS,Tenerife
TFU,Chengdu
TGC,Tanjung Manis
TGD,Podgorica
TGG,Kuala Terengganu
TGH,Tongoa
TGI,Tingo MarIa
TGJ,Tiga Island
TGK,Taganrog
TGM,Targu Mures
TGO,Tongliao
TGP,Bor
TGQ,Tangara
TGR,Touggourt
TGT,Tanga
TGU,Tegucigalpa
TGZ,Tuxtla Gutierrez
THD,Thanh Hoa
THE,Teresina
THG,Thangool
THL,Tachilek
THN,TrollhAttan-VAnersborg
THO,Thorshofn
THQ,Tianshui
THR,Tehran
THS,Sukhothai
THU,Pituffik
THX,Turukhansk
THZ,Tahoua
